gene_name, cluster_assignment, em0-2hr, em2-4hr, em4-6hr, em6-8hr, em8-10hr, em10-12hr, em12-14hr, em14-16hr, em16-18hr, em18-20hr, em20-22hr, em22-24hr
CG7371, 0, 20.1, 27.0, 19.1, 11.7, 12.0, 12.8, 10.1, 8.26, 7.02, 6.7, 6.26, 7.18
CG7372, 0, 27.0, 55.0, 68.4, 41.5, 40.1, 26.9, 20.1, 11.4, 9.03, 5.0, 17.3, 15.3
CG7379, 0, 33.6, 19.4, 17.7, 22.6, 17.6, 15.5, 12.6, 9.93, 7.59, 7.56, 6.93, 7.01
CG7382, 0, 16.4, 8.96, 10.6, 10.5, 10.9, 16.6, 12.3, 10.8, 11.8, 13.7, 11.5, 11.4
CG7394, 0, 11.8, 8.5, 11.7, 9.27, 9.37, 11.1, 10.8, 8.15, 10.4, 9.92, 11.0, 13.5
CG7406, 0, 0.333, 0.185, 0.197, 0.28, 0.894, 3.36, 5.54, 50.0, 112.0, 52.6, 1.61, 1.65
CG7409, 0, 0.03, 0.0113, 0.0067, 0.00969, 0.091, 0.149, 0.095, 0.413, 3.29, 18.8, 55.4, 52.5
CG7414, 2, 82.6, 142.0, 142.0, 115.0, 120.0, 130.0, 93.2, 108.0, 92.8, 101.0, 102.0, 93.4
CG7427, 0, 20.3, 21.4, 15.4, 16.3, 19.6, 21.4, 15.1, 9.6, 9.6, 8.17, 7.94, 9.04
CG7430, 5, 48.5, 40.7, 20.0, 26.4, 36.5, 80.8, 51.6, 78.9, 73.7, 91.0, 102.0, 87.0
CG7433, 0, 29.4, 36.4, 20.1, 8.12, 12.2, 18.7, 34.2, 36.1, 44.5, 39.2, 32.2, 39.8
CG7453, 0, 37.1, 14.4, 5.9, 10.4, 13.5, 18.4, 16.2, 16.7, 13.6, 10.7, 6.16, 5.98
CG7456, 0, 13.1, 13.6, 6.52, 11.9, 17.3, 20.7, 17.4, 9.42, 7.99, 6.16, 4.76, 5.91
CG7457, 0, 40.8, 33.9, 20.9, 6.9, 5.06, 4.25, 4.15, 9.29, 8.03, 6.54, 4.76, 4.82
CG7461, 0, 46.6, 59.2, 39.9, 27.9, 29.4, 35.5, 38.0, 36.5, 43.9, 36.6, 39.5, 44.5
CG7465, 3, 0.445, 0.613, 0.527, 0.405, 0.263, 0.56, 0.301, 1.88, 10.5, 261.0, 670.0, 427.0
CG7484, 0, 12.8, 10.1, 16.7, 19.8, 21.8, 30.3, 18.5, 7.83, 7.06, 4.58, 2.46, 3.33
CG7488, 0, 25.7, 13.9, 13.7, 14.5, 13.5, 18.2, 12.3, 13.7, 11.5, 12.1, 9.8, 8.82
CG7492, 0, 22.0, 6.07, 8.12, 16.7, 17.5, 25.3, 17.9, 15.2, 10.7, 8.83, 5.99, 6.42
CG7506, 0, 9.28, 13.7, 15.3, 10.5, 12.1, 16.0, 16.9, 13.1, 15.3, 12.1, 14.1, 16.1
CG7518, 0, 19.4, 10.9, 13.4, 12.7, 8.86, 7.73, 6.72, 8.29, 4.61, 4.19, 3.23, 2.85
CG7519, 0, 22.9, 25.8, 15.3, 17.5, 23.4, 28.1, 21.2, 14.9, 11.0, 7.4, 13.8, 14.4
CG7523, 0, 11.0, 15.2, 10.8, 13.1, 13.3, 13.8, 9.78, 6.6, 5.6, 4.38, 5.27, 6.07
CG7536, 0, 13.2, 16.2, 11.1, 10.6, 10.2, 10.8, 8.22, 7.51, 7.13, 5.82, 6.74, 7.43
CG7546, 0, 23.2, 30.3, 19.6, 19.5, 18.7, 14.0, 15.1, 16.1, 12.4, 10.4, 12.8, 11.8
CG7548, 0, 0.247, 0.038, 0.143, 0.0769, 0.446, 0.419, 0.576, 14.5, 84.2, 48.2, 1.67, 1.84
CG7556, 0, 15.0, 4.59, 12.4, 18.7, 18.5, 24.4, 14.8, 11.1, 9.77, 10.3, 7.69, 6.71
CG7564, 0, 16.2, 34.8, 47.5, 35.6, 21.7, 16.8, 13.5, 14.0, 9.56, 8.65, 9.24, 7.37
CG7567, 0, 0.0874, 0.00986, 0.0941, 0.471, 0.337, 0.571, 0.731, 1.6, 3.16, 12.7, 36.3, 50.2
CG7580, 5, 67.1, 68.3, 97.3, 71.8, 79.4, 93.7, 68.9, 148.0, 137.0, 126.0, 149.0, 145.0
CG7598, 0, 12.5, 5.61, 11.3, 9.0, 9.42, 10.2, 9.57, 11.1, 11.7, 11.8, 10.4, 11.6
CG7600, 0, 15.6, 7.68, 8.7, 12.0, 12.1, 15.6, 11.6, 10.9, 11.3, 10.8, 8.4, 8.69
CG7601, 0, 18.8, 18.0, 12.5, 10.9, 12.5, 9.74, 8.55, 6.54, 6.66, 4.33, 5.92, 7.32
CG7603, 5, 42.1, 54.6, 49.9, 39.1, 45.5, 82.0, 50.0, 54.3, 54.1, 62.2, 63.1, 63.8
CG7611, 0, 19.8, 36.3, 45.1, 39.4, 33.9, 32.2, 33.5, 40.8, 25.8, 18.7, 14.8, 13.8
