gene_name, cluster_assignment, em0-2hr, em2-4hr, em4-6hr, em6-8hr, em8-10hr, em10-12hr, em12-14hr, em14-16hr, em16-18hr, em18-20hr, em20-22hr, em22-24hr
128up, 0, 39.2, 13.6, 20.1, 28.2, 30.1, 41.9, 30.8, 23.9, 18.4, 14.1, 16.4, 15.3
14-3-3epsilon, 2, 82.1, 135.0, 101.0, 113.0, 103.0, 94.0, 79.9, 68.0, 70.1, 50.9, 54.5, 59.8
14-3-3zeta, 5, 20.1, 26.6, 26.3, 38.5, 46.6, 60.9, 76.1, 37.4, 57.8, 52.8, 55.8, 70.2
18w, 0, 1.17, 24.5, 49.8, 48.4, 41.8, 27.8, 30.0, 28.8, 14.2, 8.94, 4.18, 4.15
26-29-p, 0, 407.0, 58.9, 5.69, 2.7, 3.86, 4.86, 7.09, 15.3, 12.2, 10.1, 4.46, 4.98
7B2, 0, 0.0817, 0.148, 0.141, 0.313, 0.563, 2.21, 2.28, 6.9, 15.9, 30.2, 32.5, 31.6
7SLRNA:CR32864, 5, 49.5, 72.0, 31.0, 79.7, 86.5, 79.9, 78.3, 183.0, 158.0, 352.0, 185.0, 112.0
7SLRNA:CR42652, 5, 50.4, 71.6, 32.4, 77.7, 90.0, 81.3, 78.1, 179.0, 158.0, 355.0, 185.0, 111.0
825-Oak, 0, 0.175, 0.251, 0.128, 0.0317, 0.275, 0.155, 0.0963, 4.27, 53.0, 155.0, 1.99, 2.48
A16, 0, 22.2, 14.1, 25.2, 24.9, 17.5, 16.6, 13.2, 10.4, 8.26, 7.86, 5.58, 5.51
ABCB7, 0, 11.7, 5.53, 9.69, 7.5, 6.99, 6.72, 5.7, 4.82, 7.62, 15.1, 20.0, 21.4
ACC, 0, 8.35, 0.774, 0.941, 1.57, 3.01, 3.33, 4.97, 11.4, 21.5, 40.5, 44.4, 54.9
AGO1, 0, 16.0, 22.1, 21.2, 21.1, 21.1, 18.4, 23.9, 18.9, 17.6, 13.5, 13.8, 16.2
AGO2, 0, 20.8, 33.7, 41.8, 32.9, 34.2, 30.2, 33.8, 33.3, 32.1, 29.9, 23.8, 26.2
AIF, 0, 27.3, 7.6, 10.8, 12.8, 11.8, 14.4, 14.4, 12.5, 10.7, 7.99, 7.74, 7.47
ALiX, 0, 25.5, 26.0, 13.1, 15.1, 18.9, 25.5, 18.7, 19.1, 15.6, 15.7, 20.7, 23.0
AP-1gamma, 0, 23.3, 14.1, 5.96, 7.77, 9.59, 10.7, 10.9, 13.1, 10.6, 9.74, 8.68, 8.58
AP-2sigma, 0, 31.1, 22.9, 48.2, 48.6, 47.8, 47.4, 43.3, 32.6, 36.6, 33.8, 22.6, 25.9
AP-47, 0, 44.3, 45.7, 12.1, 17.2, 27.4, 36.2, 30.9, 33.9, 28.5, 23.6, 35.9, 30.3
AP-50, 0, 28.6, 10.3, 32.1, 34.9, 31.4, 52.8, 28.8, 26.1, 22.1, 22.1, 17.7, 17.9
ATPCL, 0, 25.2, 9.93, 23.8, 21.4, 16.9, 22.8, 32.2, 45.3, 15.9, 11.3, 16.1, 18.5
ATPsyn-Cf6, 2, 91.3, 129.0, 108.0, 58.4, 71.4, 106.0, 104.0, 121.0, 146.0, 202.0, 227.0, 246.0
ATPsyn-b, 2, 100.0, 136.0, 107.0, 84.0, 79.6, 152.0, 98.3, 162.0, 176.0, 237.0, 273.0, 232.0
ATPsyn-beta, 1, 195.0, 185.0, 187.0, 163.0, 166.0, 249.0, 260.0, 272.0, 329.0, 336.0, 457.0, 374.0
ATPsyn-d, 2, 112.0, 123.0, 88.4, 72.5, 79.3, 122.0, 103.0, 134.0, 156.0, 236.0, 258.0, 255.0
ATPsyn-gamma, 3, 116.0, 81.4, 45.0, 52.1, 68.2, 135.0, 107.0, 187.0, 180.0, 238.0, 270.0, 241.0
Aac11, 0, 13.1, 40.8, 78.2, 70.3, 58.4, 35.7, 40.2, 20.6, 19.5, 12.7, 13.2, 14.9
Aats-ala, 0, 45.2, 9.89, 16.7, 22.5, 26.9, 46.2, 35.3, 38.0, 22.9, 10.9, 8.31, 7.87
Aats-arg, 0, 18.8, 4.42, 13.4, 15.6, 16.5, 18.9, 21.1, 10.8, 10.6, 7.33, 10.8, 11.5
Aats-asn, 0, 54.5, 23.9, 15.2, 19.8, 25.6, 50.5, 32.9, 34.2, 25.3, 20.8, 19.6, 18.3
Aats-asp, 0, 24.9, 9.55, 14.3, 19.4, 23.3, 30.9, 28.3, 23.9, 21.5, 18.4, 14.0, 17.5
Aats-gln, 0, 40.4, 16.9, 13.1, 12.2, 11.6, 17.2, 11.7, 11.0, 9.22, 8.47, 7.2, 6.9
Aats-glupro, 0, 19.8, 6.73, 15.7, 17.4, 18.7, 22.7, 30.5, 23.3, 14.6, 8.23, 7.08, 7.38
Aats-gly, 0, 35.6, 7.58, 11.7, 30.5, 35.2, 44.1, 38.2, 34.4, 25.0, 17.1, 10.8, 10.3
Aats-his, 0, 24.1, 15.0, 4.75, 4.18, 6.85, 12.9, 7.11, 9.08, 7.73, 7.86, 9.76, 8.07
Aats-ile, 0, 30.4, 44.5, 25.0, 18.7, 24.3, 20.1, 28.4, 19.2, 17.6, 9.45, 15.3, 19.6
Aats-lys, 0, 72.0, 65.6, 25.3, 24.6, 39.4, 51.6, 40.1, 40.5, 25.5, 20.7, 20.1, 17.2
Aats-phe, 0, 12.3, 6.43, 11.0, 16.3, 21.1, 47.3, 30.8, 24.7, 22.8, 27.6, 20.2, 19.6
Aats-thr, 0, 52.3, 59.9, 35.3, 34.3, 39.1, 47.3, 33.5, 36.7, 32.5, 27.0, 21.5, 22.5
Aats-trp, 0, 12.4, 3.31, 8.41, 10.4, 11.1, 14.0, 11.0, 8.46, 7.19, 5.36, 5.93, 5.95
Aats-tyr, 0, 39.0, 53.7, 61.2, 39.0, 46.2, 49.2, 35.6, 33.7, 30.3, 32.3, 33.4, 32.5
Aats-val, 0, 26.7, 15.6, 11.3, 13.8, 14.1, 16.9, 17.2, 18.5, 11.2, 9.64, 9.16, 7.79
Abi, 0, 24.4, 25.4, 28.0, 36.9, 33.6, 31.9, 29.2, 21.4, 17.0, 15.6, 9.54, 10.5
AcCoAS, 0, 7.62, 1.68, 1.14, 1.14, 1.46, 3.08, 2.83, 3.14, 4.1, 13.9, 36.1, 48.1
Acer, 0, 12.4, 30.4, 42.7, 32.1, 23.2, 30.7, 49.8, 46.5, 20.9, 13.1, 6.52, 8.53
Acf1, 0, 34.8, 22.3, 38.3, 31.8, 22.7, 11.4, 10.6, 6.45, 5.29, 3.67, 6.08, 7.37
Acn, 0, 28.6, 53.3, 73.6, 65.6, 50.6, 33.0, 32.2, 23.4, 19.0, 13.4, 16.9, 15.5
Acon, 5, 61.3, 62.0, 35.5, 34.6, 37.7, 55.3, 64.5, 98.9, 105.0, 129.0, 146.0, 137.0
Acph-1, 0, 28.0, 19.4, 6.91, 4.97, 10.3, 11.8, 14.1, 11.9, 17.9, 13.8, 14.9, 16.4
Act42A, 2, 92.1, 158.0, 228.0, 325.0, 379.0, 383.0, 316.0, 212.0, 140.0, 115.0, 85.3, 85.0
Act57B, 1, 12.2, 12.9, 16.2, 105.0, 260.0, 367.0, 356.0, 506.0, 463.0, 459.0, 629.0, 454.0
Act5C, 1, 311.0, 363.0, 235.0, 324.0, 375.0, 311.0, 252.0, 286.0, 283.0, 274.0, 386.0, 286.0
Act87E, 4, 3.33, 8.42, 28.3, 55.5, 83.8, 54.4, 37.6, 264.0, 456.0, 443.0, 285.0, 286.0
Actn, 0, 16.1, 7.78, 7.94, 6.85, 5.97, 11.1, 16.5, 35.3, 42.1, 67.5, 50.2, 44.5
Actr13E, 0, 27.2, 45.0, 49.8, 43.5, 37.7, 33.5, 23.3, 22.4, 15.0, 10.3, 10.2, 11.0
Ada2a, 0, 6.02, 8.85, 12.1, 14.0, 13.7, 12.4, 10.6, 7.1, 6.54, 5.98, 4.87, 5.66
Ada2b, 0, 42.2, 24.7, 18.1, 14.7, 14.4, 11.1, 9.83, 8.26, 6.57, 4.95, 6.86, 6.35
Adam, 0, 20.2, 9.54, 26.6, 27.6, 27.6, 27.1, 31.9, 22.3, 27.3, 24.0, 26.4, 30.8
Adf1, 0, 7.83, 10.4, 14.7, 17.0, 11.2, 11.3, 10.2, 7.77, 5.47, 4.44, 2.42, 2.75
Adh, 5, 37.9, 1.51, 0.922, 0.986, 1.44, 2.37, 4.97, 22.7, 37.3, 93.8, 170.0, 177.0
Adhr, 5, 38.7, 1.54, 0.941, 1.0, 1.47, 2.42, 5.06, 23.2, 38.1, 95.7, 174.0, 181.0
Adk1, 0, 1.49, 1.48, 1.18, 1.02, 1.2, 1.7, 1.53, 1.69, 3.05, 10.7, 41.0, 37.6
Adk2, 5, 42.5, 31.3, 51.1, 52.4, 53.8, 58.6, 43.2, 31.2, 40.9, 69.3, 99.9, 95.3
Aef1, 0, 28.0, 17.2, 6.58, 5.79, 9.08, 10.4, 13.5, 13.8, 11.5, 8.69, 8.62, 8.9
Ag5r, 0, 0.0268, 0.0301, 0.0808, 0.0986, 0.175, 0.388, 0.282, 1.01, 3.58, 24.0, 79.9, 97.5
Ag5r2, 0, 0.081, 0.0152, 0.027, 0.343, 0.161, 0.799, 1.16, 5.11, 5.23, 14.9, 55.5, 63.5
Ahcy13, 0, 110.0, 10.2, 15.4, 37.3, 47.3, 78.3, 50.7, 56.3, 37.0, 33.7, 46.0, 38.9
Akap200, 0, 21.3, 43.1, 46.7, 55.2, 50.9, 40.6, 43.1, 19.8, 14.6, 9.81, 15.1, 12.6
Akt1, 0, 13.5, 8.91, 14.5, 14.9, 13.2, 15.4, 14.1, 7.82, 6.77, 5.99, 5.08, 6.49
Alas, 0, 12.7, 3.18, 6.94, 8.7, 8.41, 13.9, 12.1, 22.8, 20.6, 22.2, 18.4, 23.6
Ald, 5, 14.7, 18.7, 17.5, 9.9, 16.0, 31.4, 41.4, 90.4, 98.5, 104.0, 117.0, 116.0
Aldh, 5, 35.9, 1.05, 0.825, 0.824, 1.11, 1.61, 2.02, 11.6, 39.5, 80.9, 88.4, 130.0
Aldh-III, 0, 5.58, 18.8, 11.6, 7.41, 7.48, 7.71, 11.9, 10.7, 10.8, 10.9, 9.73, 11.8
Alh, 0, 5.86, 5.09, 4.26, 6.67, 6.88, 8.32, 10.1, 14.0, 14.4, 16.9, 11.5, 10.3
Ama, 2, 5.71, 83.3, 240.0, 337.0, 253.0, 174.0, 97.8, 37.4, 10.2, 6.71, 2.81, 3.81
Amun, 0, 66.7, 131.0, 116.0, 94.2, 74.8, 65.9, 49.6, 45.2, 31.2, 20.8, 40.2, 30.6
Ance, 0, 1.19, 12.8, 54.2, 91.2, 92.8, 112.0, 70.8, 48.0, 28.9, 33.1, 38.6, 43.4
Ance-3, 0, 0.0809, 0.106, 0.243, 0.0584, 0.185, 0.206, 0.264, 5.05, 36.3, 47.4, 23.0, 18.8
Ance-5, 0, 0.0595, 0.0519, 0.1, 0.204, 0.453, 2.52, 3.22, 10.1, 21.0, 30.9, 17.9, 18.6
Ank, 0, 7.1, 10.8, 11.5, 8.36, 11.0, 7.61, 16.8, 6.9, 11.2, 7.97, 9.63, 14.2
AnnIX, 5, 13.6, 16.8, 11.8, 12.2, 16.8, 39.2, 47.2, 64.5, 41.4, 57.4, 69.9, 69.9
Ant2, 2, 99.8, 130.0, 89.3, 78.9, 82.5, 92.1, 79.0, 82.1, 94.2, 103.0, 149.0, 123.0
Anxb11, 0, 4.63, 5.93, 8.66, 15.0, 18.9, 23.0, 20.6, 18.1, 19.4, 20.3, 14.7, 16.6
Aos1, 0, 74.5, 86.6, 83.6, 51.1, 38.3, 28.3, 16.3, 9.15, 6.23, 4.71, 3.0, 4.09
Apc2, 0, 26.7, 33.1, 20.5, 15.9, 14.8, 10.2, 7.5, 5.85, 4.52, 2.66, 2.58, 3.84
ApepP, 0, 27.1, 42.9, 40.2, 7.1, 9.16, 7.46, 8.71, 8.8, 9.3, 7.84, 18.0, 19.1
Aprt, 0, 10.6, 17.1, 23.2, 13.3, 9.05, 8.16, 9.39, 8.28, 9.14, 8.1, 14.6, 16.2
Aps, 0, 44.9, 78.5, 63.8, 17.4, 25.4, 28.6, 31.1, 24.1, 22.3, 18.7, 22.5, 25.3
Arc-p20, 0, 51.1, 90.3, 111.0, 85.9, 77.8, 103.0, 53.2, 67.2, 44.2, 41.3, 39.0, 30.6
Arc-p34, 0, 30.0, 23.9, 22.1, 18.5, 18.5, 17.7, 19.1, 9.35, 8.67, 5.53, 6.79, 8.16
Arc1, 0, 26.0, 30.3, 22.7, 17.9, 26.1, 23.4, 18.1, 17.9, 16.0, 16.7, 19.7, 17.5
Arc42, 0, 32.3, 9.47, 20.1, 14.7, 9.99, 8.76, 5.64, 6.97, 5.71, 6.54, 3.91, 3.26
Arf102F, 0, 40.6, 55.2, 32.2, 27.6, 45.3, 62.5, 62.0, 14.7, 28.5, 17.2, 18.7, 27.6
Arf51F, 0, 20.4, 20.2, 17.6, 22.9, 28.3, 27.0, 28.0, 16.1, 18.7, 18.6, 15.3, 20.7
Arf72A, 0, 32.2, 36.0, 28.6, 31.2, 33.8, 42.2, 25.7, 23.3, 15.0, 12.3, 9.25, 8.63
Arf79F, 0, 48.2, 85.1, 98.9, 87.5, 93.8, 92.1, 125.0, 66.3, 72.2, 48.1, 49.7, 59.8
Arf84F, 0, 8.42, 7.37, 15.8, 15.5, 15.1, 18.5, 12.8, 4.78, 4.96, 3.93, 2.8, 3.6
ArfGAP3, 0, 25.1, 41.1, 36.3, 34.3, 33.9, 35.7, 29.0, 26.8, 22.2, 19.9, 21.5, 20.1
Argk, 0, 10.8, 0.616, 0.546, 5.32, 13.3, 45.8, 31.8, 33.0, 18.8, 16.3, 25.5, 23.0
Arp11, 0, 17.5, 15.7, 17.8, 14.0, 14.2, 17.4, 8.8, 11.7, 9.31, 11.2, 11.3, 9.41
Arp14D, 0, 22.4, 13.9, 14.4, 13.6, 13.2, 12.0, 17.5, 11.7, 9.5, 7.08, 5.52, 7.13
Arp66B, 0, 29.5, 43.8, 24.2, 28.9, 37.5, 48.0, 35.4, 30.1, 27.7, 22.3, 22.9, 22.5
Arp8, 0, 16.5, 13.4, 9.4, 11.1, 9.92, 10.7, 6.02, 7.55, 5.44, 3.91, 3.43, 3.32
Arp87C, 0, 27.5, 10.7, 18.8, 20.6, 20.1, 28.5, 18.8, 18.4, 15.4, 16.0, 17.8, 17.1
Arpc3A, 0, 13.8, 8.43, 24.4, 25.1, 27.6, 30.7, 22.3, 14.1, 11.3, 11.1, 8.68, 9.79
Ars2, 0, 33.8, 60.3, 69.0, 38.7, 31.9, 22.6, 29.6, 16.2, 14.6, 9.01, 19.4, 17.6
Art1, 0, 118.0, 111.0, 60.8, 56.1, 52.9, 39.5, 33.3, 30.6, 18.9, 8.4, 13.6, 14.0
Art3, 0, 20.1, 28.7, 25.5, 26.3, 28.5, 26.8, 21.2, 13.7, 10.3, 5.56, 14.4, 14.6
Art4, 0, 25.5, 12.0, 19.3, 12.6, 10.7, 6.41, 7.38, 5.64, 3.76, 3.16, 2.62, 2.77
Art8, 0, 7.42, 13.5, 21.0, 18.8, 16.1, 15.9, 12.6, 6.86, 4.57, 3.36, 9.64, 9.58
Asap1, 0, 13.3, 9.81, 19.0, 13.2, 9.41, 8.85, 7.05, 8.07, 7.0, 5.69, 4.16, 4.9
Asph, 0, 0.655, 7.84, 15.8, 9.51, 7.44, 9.12, 14.4, 14.6, 19.0, 16.2, 10.7, 12.6
Atf-2, 0, 6.49, 9.93, 14.1, 10.8, 11.3, 12.9, 8.53, 6.39, 6.16, 6.12, 5.3, 6.39
Atg13, 0, 18.7, 18.2, 13.7, 12.5, 12.3, 12.9, 11.2, 7.02, 8.5, 13.6, 19.9, 22.5
Atg18, 0, 12.7, 35.8, 24.4, 12.7, 11.9, 11.5, 10.1, 14.6, 19.2, 18.4, 16.5, 15.8
Atg2, 0, 12.5, 14.5, 21.6, 16.0, 15.7, 11.2, 11.7, 9.56, 10.0, 13.8, 9.01, 10.7
Atg4, 0, 10.2, 14.4, 12.2, 11.7, 12.1, 14.2, 11.8, 10.5, 11.4, 12.8, 10.8, 12.1
Atg6, 0, 9.64, 9.21, 11.8, 9.73, 8.14, 9.71, 8.2, 6.27, 7.47, 9.26, 7.77, 9.04
Atg8a, 0, 14.2, 30.1, 58.4, 39.9, 43.1, 39.7, 49.2, 36.6, 36.9, 31.6, 31.4, 45.5
Atg9, 0, 12.3, 20.3, 26.0, 17.7, 17.1, 19.5, 14.8, 12.9, 13.4, 23.6, 15.8, 17.1
Atox1, 0, 23.6, 19.4, 14.2, 12.1, 12.4, 14.6, 12.7, 10.9, 9.18, 5.31, 6.41, 7.18
Atpalpha, 0, 13.7, 4.7, 5.05, 12.0, 13.7, 17.5, 24.8, 27.9, 30.6, 38.2, 34.0, 38.0
Atu, 0, 30.9, 50.3, 41.4, 25.3, 21.6, 17.3, 11.4, 13.0, 8.86, 5.4, 6.96, 6.74
Aut1, 0, 22.4, 35.7, 32.2, 25.4, 21.6, 21.5, 18.7, 18.9, 14.3, 8.86, 6.54, 6.72
Axud1, 0, 19.9, 25.6, 14.7, 12.8, 12.2, 8.63, 10.6, 10.3, 8.83, 5.65, 10.5, 8.75
B52, 0, 47.8, 103.0, 116.0, 110.0, 80.4, 62.4, 53.2, 52.1, 30.6, 18.2, 23.1, 20.2
BCL7-like, 0, 21.0, 24.5, 25.9, 19.3, 15.3, 12.3, 10.6, 6.23, 4.43, 2.77, 2.8, 2.85
BEAF-32, 0, 38.0, 45.0, 45.0, 41.5, 36.2, 33.3, 22.7, 19.9, 15.3, 10.3, 18.2, 15.3
BHD, 2, 168.0, 205.0, 135.0, 184.0, 206.0, 176.0, 139.0, 174.0, 154.0, 165.0, 219.0, 158.0
BM-40-SPARC, 5, 0.589, 1.02, 1.71, 5.23, 8.41, 25.6, 30.3, 103.0, 151.0, 210.0, 154.0, 120.0
BRWD3, 0, 24.1, 35.1, 27.6, 23.8, 17.7, 9.51, 10.8, 14.3, 10.8, 7.64, 17.3, 12.6
Bace, 5, 0.0444, 0.0589, 0.0466, 0.0372, 0.122, 0.186, 0.125, 2.28, 13.6, 80.3, 119.0, 147.0
Bap, 0, 47.1, 42.8, 35.6, 39.8, 38.0, 44.9, 31.8, 39.0, 28.1, 26.6, 20.4, 19.4
Bap170, 0, 34.4, 44.5, 37.0, 25.0, 17.8, 9.53, 10.4, 11.2, 6.97, 4.31, 6.29, 6.35
Bap55, 0, 33.8, 63.7, 83.0, 49.7, 33.6, 24.2, 16.9, 9.48, 6.65, 4.95, 2.73, 3.46
Bap60, 0, 71.2, 109.0, 82.3, 62.7, 54.6, 53.9, 36.3, 33.3, 23.2, 13.7, 19.9, 19.5
Bem46, 0, 11.9, 15.2, 22.5, 11.5, 8.91, 8.26, 6.94, 6.29, 5.15, 4.31, 3.05, 3.52
Bet1, 0, 19.3, 6.41, 17.2, 20.5, 22.6, 31.6, 25.4, 23.7, 19.8, 15.2, 11.5, 11.3
Bet3, 0, 19.4, 21.6, 14.3, 15.8, 17.3, 24.2, 14.7, 13.9, 9.38, 7.57, 7.66, 6.9
Bgb, 0, 46.8, 70.6, 68.8, 77.8, 66.3, 84.7, 41.2, 37.6, 26.5, 23.8, 17.3, 15.5
BicC, 0, 135.0, 4.28, 1.34, 0.588, 0.695, 0.146, 0.321, 0.668, 0.119, 0.222, 0.133, 0.269
Bin1, 0, 34.3, 66.3, 87.7, 58.3, 53.4, 49.6, 36.8, 22.0, 21.2, 13.8, 13.0, 15.6
Bj1, 2, 135.0, 225.0, 186.0, 129.0, 104.0, 68.3, 45.9, 45.0, 34.5, 19.0, 40.1, 34.4
Bka, 0, 17.5, 19.8, 21.0, 16.5, 19.0, 21.2, 13.8, 10.8, 9.89, 8.39, 15.0, 13.6
BobA, 0, 5.34, 87.8, 323.0, 208.0, 110.0, 17.2, 5.99, 1.47, 1.13, 1.77, 0.536, 2.43
Br140, 0, 35.1, 20.9, 13.3, 10.9, 8.17, 5.06, 3.98, 4.22, 3.26, 3.15, 3.39, 2.75
Brd, 0, 5.35, 74.1, 265.0, 258.0, 139.0, 9.2, 4.29, 1.5, 1.34, 1.23, 0.355, 1.89
Brd8, 0, 16.1, 27.5, 27.4, 21.5, 17.6, 15.6, 9.57, 7.49, 4.2, 2.95, 2.61, 2.55
Bre1, 0, 42.1, 61.0, 44.9, 42.9, 34.1, 21.3, 23.0, 20.3, 14.9, 8.57, 20.3, 16.4
Bro, 0, 15.2, 94.4, 2.63, 1.13, 1.33, 1.88, 0.922, 0.511, 0.225, 0.291, 0.0125, 0.506
Bsg25A, 0, 15.0, 177.0, 2.33, 0.307, 0.554, 0.147, 0.155, 0.158, 0.076, 0.214, 0.0762, 0.634
Bsg25D, 0, 23.8, 117.0, 15.4, 10.9, 12.3, 9.56, 9.81, 8.32, 6.91, 4.89, 6.4, 7.71
BtbVII, 0, 30.6, 16.3, 12.5, 13.4, 11.9, 10.6, 8.81, 8.46, 8.32, 11.8, 9.23, 8.62
BthD, 0, 29.4, 43.2, 45.4, 27.8, 26.2, 15.8, 11.0, 7.07, 6.55, 3.54, 5.61, 6.28
Bub1, 0, 21.3, 18.2, 10.7, 10.1, 8.49, 7.65, 7.16, 5.8, 5.06, 4.53, 3.62, 3.71
Bub3, 0, 56.8, 110.0, 157.0, 94.0, 74.0, 42.6, 33.4, 26.7, 20.8, 12.5, 25.9, 23.6
BubR1, 0, 15.6, 25.6, 31.4, 20.7, 15.3, 5.79, 6.05, 4.11, 4.27, 2.17, 8.55, 8.01
Bx42, 0, 46.5, 80.8, 74.6, 60.8, 53.7, 55.2, 35.0, 32.1, 23.2, 21.3, 26.7, 22.8
CAH2, 5, 9.62, 3.56, 1.07, 0.532, 1.38, 2.84, 4.86, 16.1, 34.1, 59.8, 121.0, 182.0
CAP-D2, 0, 23.5, 34.5, 54.4, 42.9, 27.5, 10.3, 10.2, 7.51, 5.18, 2.69, 3.59, 4.96
CBP, 0, 11.9, 11.9, 30.8, 35.6, 34.2, 45.8, 39.8, 27.8, 36.6, 36.0, 27.2, 34.2
CD98hc, 0, 45.0, 22.1, 28.0, 33.7, 33.7, 49.6, 38.0, 24.0, 23.4, 29.1, 28.3, 31.0
CDC45L, 0, 54.6, 7.04, 19.8, 16.6, 10.4, 6.19, 4.12, 3.98, 3.03, 2.18, 1.76, 1.88
CG10035, 2, 21.6, 362.0, 254.0, 199.0, 49.4, 9.18, 3.06, 4.52, 1.36, 6.07, 2.72, 5.61
CG10055, 0, 29.1, 11.8, 7.25, 9.24, 9.84, 13.0, 9.72, 8.68, 7.89, 6.4, 5.26, 5.54
CG10075, 0, 15.6, 8.47, 7.36, 9.56, 11.6, 18.4, 11.3, 9.54, 9.64, 9.27, 9.91, 10.1
CG10077, 0, 37.3, 36.1, 46.7, 49.2, 47.9, 48.5, 48.5, 45.6, 38.1, 41.9, 31.3, 35.3
CG10082, 0, 6.18, 5.7, 9.44, 10.8, 8.75, 8.35, 9.31, 9.67, 9.67, 10.6, 8.66, 9.75
CG10083, 0, 27.8, 35.5, 15.7, 11.1, 12.1, 8.86, 9.73, 12.3, 15.8, 14.4, 17.2, 16.2
CG10098, 0, 20.0, 9.37, 6.22, 6.35, 9.5, 20.6, 13.5, 12.5, 11.4, 11.7, 9.22, 8.93
CG10103, 0, 15.1, 14.8, 17.1, 14.5, 13.4, 13.9, 10.9, 10.9, 11.2, 11.7, 11.0, 13.1
CG10107, 0, 24.1, 24.7, 22.8, 26.3, 23.9, 18.7, 13.9, 13.3, 10.5, 11.1, 8.97, 7.52
CG10139, 0, 26.1, 38.4, 28.5, 26.8, 25.2, 20.9, 15.5, 12.3, 11.9, 8.88, 16.3, 14.2
CG10153, 0, 14.0, 13.5, 19.9, 18.7, 18.5, 28.9, 20.8, 20.1, 22.4, 24.1, 27.3, 25.0
CG10157, 0, 30.0, 37.8, 38.7, 30.0, 40.5, 63.4, 54.3, 52.3, 28.8, 21.8, 13.5, 19.1
CG10158, 0, 24.1, 26.8, 13.4, 13.7, 15.9, 19.5, 15.2, 13.4, 11.0, 7.16, 10.3, 9.37
CG10166, 0, 11.2, 6.04, 17.2, 15.9, 18.0, 23.4, 25.3, 11.9, 10.6, 8.35, 7.09, 7.92
CG10188, 0, 17.7, 11.2, 15.8, 9.27, 7.9, 7.04, 9.36, 8.62, 5.12, 4.78, 3.55, 4.0
CG10200, 0, 0.0953, 0.096, 0.151, 0.348, 0.82, 4.98, 5.43, 7.79, 8.81, 18.7, 92.4, 78.8
CG10208, 0, 4.95, 8.98, 15.8, 6.11, 3.33, 3.98, 2.42, 3.48, 5.0, 9.88, 19.2, 17.7
CG10211, 0, 0.139, 0.123, 0.168, 0.467, 0.761, 1.66, 6.34, 69.5, 48.1, 7.91, 6.06, 5.46
CG10214, 0, 25.2, 42.3, 46.8, 29.3, 29.8, 26.5, 25.6, 15.5, 13.2, 10.2, 12.6, 14.1
CG10217, 0, 32.3, 58.8, 82.6, 81.6, 91.1, 88.0, 75.7, 53.0, 38.9, 31.5, 21.2, 19.9
CG10219, 0, 28.5, 25.3, 12.0, 18.3, 21.9, 31.9, 27.0, 36.5, 38.4, 49.7, 47.1, 43.8
CG1024, 0, 17.7, 22.8, 18.9, 14.4, 13.5, 11.2, 8.09, 6.77, 5.5, 3.44, 7.75, 6.91
CG10254, 0, 63.5, 4.82, 6.08, 7.11, 7.45, 7.42, 9.08, 6.11, 6.77, 6.82, 3.55, 4.09
CG10268, 0, 9.15, 9.94, 10.1, 9.67, 7.77, 7.36, 10.2, 25.8, 13.5, 4.92, 1.8, 1.85
CG10277, 0, 9.09, 8.18, 8.5, 11.0, 11.2, 12.1, 9.58, 7.65, 9.48, 14.3, 11.0, 12.3
CG10286, 0, 8.54, 7.21, 21.0, 26.7, 26.4, 26.7, 21.5, 11.2, 9.01, 6.89, 10.6, 10.3
CG10306, 2, 109.0, 186.0, 210.0, 181.0, 185.0, 189.0, 122.0, 113.0, 80.9, 78.2, 68.9, 66.8
CG10320, 5, 43.0, 50.2, 66.9, 50.3, 51.3, 98.9, 52.7, 80.3, 70.1, 98.3, 114.0, 102.0
CG10321, 0, 31.3, 18.7, 20.7, 20.8, 18.7, 22.1, 18.0, 15.0, 11.4, 12.3, 9.58, 9.29
CG10326, 0, 37.6, 56.5, 43.9, 19.5, 23.4, 27.1, 32.3, 25.6, 20.1, 11.1, 14.9, 19.0
CG10333, 0, 13.9, 23.1, 35.8, 23.1, 18.8, 14.8, 13.7, 8.33, 6.76, 5.27, 4.66, 5.15
CG10336, 0, 32.9, 19.2, 22.6, 17.3, 12.7, 8.33, 4.48, 4.03, 2.55, 1.64, 1.23, 1.52
CG10340, 0, 19.9, 3.16, 11.4, 23.9, 26.5, 38.2, 33.0, 31.5, 33.9, 40.5, 43.6, 41.7
CG10341, 0, 10.7, 19.0, 26.9, 29.8, 25.8, 20.8, 17.8, 13.3, 11.1, 11.4, 20.0, 17.6
CG10343, 0, 15.7, 18.1, 12.7, 10.3, 10.8, 10.5, 10.6, 5.33, 6.65, 4.85, 4.79, 5.76
CG10347, 0, 12.8, 14.9, 9.46, 10.8, 12.9, 15.5, 9.33, 9.38, 6.46, 4.09, 4.85, 4.93
CG10375, 0, 13.1, 29.3, 36.7, 29.9, 30.9, 39.1, 23.6, 12.4, 13.1, 9.02, 11.9, 11.5
CG10376, 0, 10.6, 16.6, 25.3, 13.9, 9.76, 6.05, 6.95, 5.37, 7.5, 5.97, 4.24, 6.05
CG10413, 0, 13.2, 17.4, 5.42, 7.79, 13.5, 16.1, 16.3, 10.1, 9.64, 9.1, 13.3, 15.5
