gene_name,em0-2hr,em2-4hr,em4-6hr,em6-8hr,em8-10hr,em10-12hr,em12-14hr,em14-16hr,em16-18hr,em18-20hr,em20-22hr,em22-24hr
CG43131,0.00E+00,4.07E-01,4.44E-01,7.32E-02,2.40E-01,2.05E-01,2.05E-01,3.40E-02,4.58E-02,7.49E-02,1.25E-01,1.49E-02
CG43132,3.47E-01,1.37E-01,8.26E-02,2.04E-01,3.78E-01,9.13E-02,1.75E-01,1.34E-01,2.00E-01,0.00E+00,1.93E-01,3.93E-01
CG43133,1.28E-02,8.67E-02,5.66E-02,1.25E-01,2.14E-01,2.94E-01,4.85E-01,1.83E+00,3.01E+00,2.12E+00,4.29E-01,4.98E-01
CG43134,1.56E-02,0.00E+00,0.00E+00,7.41E-02,1.06E-01,2.02E-01,4.17E-01,7.33E-01,7.43E-01,3.77E+00,9.98E+00,1.13E+01
CG43135,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.16E-02,6.13E-02,0.00E+00
CG43136,0.00E+00,0.00E+00,2.21E-02,0.00E+00,1.38E-02,0.00E+00,8.86E-03,0.00E+00,1.10E-02,2.41E-03,0.00E+00,0.00E+00
CG43137,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
CG43138,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.42E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
CG43139,1.82E-02,0.00E+00,7.52E-03,5.51E-02,1.74E-01,1.21E+00,1.97E+00,8.93E-01,2.57E+00,1.41E+00,4.04E-01,8.93E-01
CG43143,1.02E+00,2.67E-01,1.39E-01,5.39E-01,9.36E-01,9.97E-01,1.94E+00,2.83E+00,2.94E+00,2.27E+00,1.02E+00,1.17E+00
CG43144,2.83E+00,2.84E-01,6.54E-01,8.47E-01,1.86E+00,2.25E+00,1.96E+00,3.58E-01,6.11E-01,6.57E-01,4.58E-01,1.00E+00
CG43145,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.23E-02,8.68E-03,5.43E-02,2.74E-02,3.91E-02
CG43146,0.00E+00,0.00E+00,2.35E-03,0.00E+00,0.00E+00,3.43E-02,6.71E-03,9.25E-03,2.49E-02,1.63E-02,0.00E+00,2.43E-02
CG43147,0.00E+00,4.77E-02,2.27E-02,2.07E-02,4.78E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
CG43149,1.63E-02,9.56E-02,9.51E-02,1.27E-01,9.26E-02,4.12E-01,5.24E-01,3.44E-01,1.90E+00,6.28E+00,9.87E+00,1.58E+01
CG43150,0.00E+00,0.00E+00,7.77E-03,2.52E-02,5.01E-02,1.03E-02,8.06E-03,1.20E-02,2.00E-02,1.06E-02,0.00E+00,9.76E-03
CG43151,0.00E+00,2.18E-02,1.59E-01,2.43E-01,1.08E-01,2.15E-01,3.09E-01,2.09E-01,8.13E-02,1.25E-01,0.00E+00,1.76E-01
CG43153,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.94E-02,1.39E-01,2.62E-01
CG43154,7.72E+00,6.25E+00,6.41E+00,6.35E+00,5.45E+00,6.04E+00,6.97E+00,9.07E+00,8.89E+00,9.98E+00,6.64E+00,6.61E+00
CG43155,6.43E-04,3.14E-03,1.55E-03,4.79E-03,1.15E-02,1.36E-02,9.99E-03,3.80E-02,9.52E-02,9.67E-02,1.09E-01,1.41E-01
CG43156,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.05E-02,1.01E-01,8.71E-02,0.00E+00,1.70E-01,2.56E-01,6.62E-02,2.41E-01
CG43163,4.90E-02,2.37E-01,4.49E-01,4.02E-01,3.17E-01,5.08E-01,8.46E-01,6.02E-01,3.00E-01,3.27E-01,1.38E-01,1.46E-01
CG43164,3.68E-01,2.36E+00,7.02E+00,5.55E+01,1.04E+02,1.51E+02,1.06E+02,2.80E+01,2.41E+00,1.88E+00,1.04E+00,1.15E+00
